file,sheet,cell,slot,original_label,normalized_label,correction_required,status
result1.xlsx,计划购电量,A2,1,0:10-0:20,00:00-00:10,1,proposed_order_mapping
result1.xlsx,计划购电量,A3,2,0:20-0:30,00:10-00:20,1,proposed_order_mapping
result1.xlsx,计划购电量,A4,3,0:30-0:40,00:20-00:30,1,proposed_order_mapping
result1.xlsx,计划购电量,A5,4,0:40-0:50,00:30-00:40,1,proposed_order_mapping
result1.xlsx,计划购电量,A6,5,0:50-1:00,00:40-00:50,1,proposed_order_mapping
result1.xlsx,计划购电量,A7,6,1:00-1:10,00:50-01:00,1,proposed_order_mapping
result1.xlsx,计划购电量,A8,7,1:10-1:20,01:00-01:10,1,proposed_order_mapping
result1.xlsx,计划购电量,A9,8,1:20-1:30,01:10-01:20,1,proposed_order_mapping
result1.xlsx,计划购电量,A10,9,1:30-1:40,01:20-01:30,1,proposed_order_mapping
result1.xlsx,计划购电量,A11,10,1:40-1:50,01:30-01:40,1,proposed_order_mapping
result1.xlsx,计划购电量,A12,11,1:50-2:00,01:40-01:50,1,proposed_order_mapping
result1.xlsx,计划购电量,A13,12,2:00-2:10,01:50-02:00,1,proposed_order_mapping
result1.xlsx,计划购电量,A14,13,2:10-2:20,02:00-02:10,1,proposed_order_mapping
result1.xlsx,计划购电量,A15,14,2:20-2:30,02:10-02:20,1,proposed_order_mapping
result1.xlsx,计划购电量,A16,15,2:30-2:40,02:20-02:30,1,proposed_order_mapping
result1.xlsx,计划购电量,A17,16,2:40-2:50,02:30-02:40,1,proposed_order_mapping
result1.xlsx,计划购电量,A18,17,2:50-3:00,02:40-02:50,1,proposed_order_mapping
result1.xlsx,计划购电量,A19,18,3:00-3:10,02:50-03:00,1,proposed_order_mapping
result1.xlsx,计划购电量,A20,19,3:10-3:20,03:00-03:10,1,proposed_order_mapping
result1.xlsx,计划购电量,A21,20,3:20-3:30,03:10-03:20,1,proposed_order_mapping
result1.xlsx,计划购电量,A22,21,3:30-3:40,03:20-03:30,1,proposed_order_mapping
result1.xlsx,计划购电量,A23,22,3:40-3:50,03:30-03:40,1,proposed_order_mapping
result1.xlsx,计划购电量,A24,23,3:50-4:00,03:40-03:50,1,proposed_order_mapping
result1.xlsx,计划购电量,A25,24,4:00-4:10,03:50-04:00,1,proposed_order_mapping
result1.xlsx,计划购电量,A26,25,4:10-4:20,04:00-04:10,1,proposed_order_mapping
result1.xlsx,计划购电量,A27,26,4:20-4:30,04:10-04:20,1,proposed_order_mapping
result1.xlsx,计划购电量,A28,27,4:30-4:40,04:20-04:30,1,proposed_order_mapping
result1.xlsx,计划购电量,A29,28,4:40-4:50,04:30-04:40,1,proposed_order_mapping
result1.xlsx,计划购电量,A30,29,4:50-5:00,04:40-04:50,1,proposed_order_mapping
result1.xlsx,计划购电量,A31,30,5:00-5:10,04:50-05:00,1,proposed_order_mapping
result1.xlsx,计划购电量,A32,31,5:10-5:20,05:00-05:10,1,proposed_order_mapping
result1.xlsx,计划购电量,A33,32,5:20-5:30,05:10-05:20,1,proposed_order_mapping
result1.xlsx,计划购电量,A34,33,5:30-5:40,05:20-05:30,1,proposed_order_mapping
result1.xlsx,计划购电量,A35,34,5:40-5:50,05:30-05:40,1,proposed_order_mapping
result1.xlsx,计划购电量,A36,35,5:50-6:00,05:40-05:50,1,proposed_order_mapping
result1.xlsx,计划购电量,A37,36,6:00-6:10,05:50-06:00,1,proposed_order_mapping
result1.xlsx,计划购电量,A38,37,6:10-6:20,06:00-06:10,1,proposed_order_mapping
result1.xlsx,计划购电量,A39,38,6:20-6:30,06:10-06:20,1,proposed_order_mapping
result1.xlsx,计划购电量,A40,39,6:30-6:40,06:20-06:30,1,proposed_order_mapping
result1.xlsx,计划购电量,A41,40,6:40-6:50,06:30-06:40,1,proposed_order_mapping
result1.xlsx,计划购电量,A42,41,6:50-7:00,06:40-06:50,1,proposed_order_mapping
result1.xlsx,计划购电量,A43,42,7:00-7:10,06:50-07:00,1,proposed_order_mapping
result1.xlsx,计划购电量,A44,43,7:10-7:20,07:00-07:10,1,proposed_order_mapping
result1.xlsx,计划购电量,A45,44,7:20-7:30,07:10-07:20,1,proposed_order_mapping
result1.xlsx,计划购电量,A46,45,7:30-7:40,07:20-07:30,1,proposed_order_mapping
result1.xlsx,计划购电量,A47,46,7:40-7:50,07:30-07:40,1,proposed_order_mapping
result1.xlsx,计划购电量,A48,47,7:50-8:00,07:40-07:50,1,proposed_order_mapping
result1.xlsx,计划购电量,A49,48,8:00-8:10,07:50-08:00,1,proposed_order_mapping
result1.xlsx,计划购电量,A50,49,8:10-8:20,08:00-08:10,1,proposed_order_mapping
result1.xlsx,计划购电量,A51,50,8:20-8:30,08:10-08:20,1,proposed_order_mapping
result1.xlsx,计划购电量,A52,51,8:30-8:40,08:20-08:30,1,proposed_order_mapping
result1.xlsx,计划购电量,A53,52,8:40-8:50,08:30-08:40,1,proposed_order_mapping
