date,status,gap,seconds,terminal_penalty_yuan,predicted_objective_yuan
2025-02-01,0,0.0,0.058789200003957376,0.0,22650.581748837394
2025-02-02,0,0.0,0.038263199996436015,0.0,56595.69769502283
2025-02-03,0,0.0,0.04146859998581931,0.0,55929.92200602655
2025-02-04,0,0.0,0.04726629998185672,0.0,55878.08652638718
2025-02-05,0,0.0,0.06011730001773685,0.0,55677.66735671704
2025-02-06,0,0.0,0.0728788000124041,0.0,56180.86920855904
2025-02-07,0,0.0,0.06558260001474991,0.0,21921.202659140516
2025-02-08,0,0.0,0.07052490001660772,0.0,21054.203319085937
2025-02-09,0,0.0,0.03607959998771548,0.0,54234.72205997538
2025-02-10,0,0.0,0.06388340002740733,0.0,54558.05376112063
2025-02-11,0,0.0,0.06423729998641647,0.0,53758.369403468016
2025-02-12,0,0.0,0.08659329998772591,0.0,53167.239122835126
2025-02-13,0,0.0,0.08200049999868497,0.0,52874.348271625495
2025-02-14,0,0.0,0.06894170001032762,0.0,19527.027008198107
2025-02-15,0,0.0,0.10888970000087284,0.0,19063.661453510835
2025-02-16,0,0.0,0.03910590001032688,0.0,50346.7810174927
2025-02-17,0,0.0,0.05740630000946112,0.0,49982.003142344176
2025-02-18,0,0.0,0.05339590000221506,0.0,49503.67661360537
2025-02-19,0,0.0,0.0396859000029508,0.0,49179.8611145919
2025-02-20,0,0.0,0.038501800008816645,0.0,48968.64593364355
2025-02-21,0,0.0,0.045004299987340346,0.0,18428.83196027666
2025-02-22,0,0.0,0.06019879999803379,0.0,18077.442553227378
2025-02-23,0,0.0,0.04520619998220354,0.0,47700.27616112925
2025-02-24,0,0.0,0.06485110000357963,0.0,47198.71880793684
2025-02-25,0,0.0,0.04294299997854978,0.0,47007.75971080547
2025-02-26,0,0.0,0.0630589000065811,0.0,46490.917162311605
2025-02-27,0,0.0,0.03973069999483414,0.0,45996.30377454772
2025-02-28,0,0.0,0.12184800000977702,0.0,17533.98660195104
2025-03-01,0,0.0,0.07153799998923205,0.0,17327.848793597164
2025-03-02,0,0.0,0.06685129998368211,0.0,44910.07364614154
2025-03-03,0,0.0,0.039762500004144385,0.0,45160.489851583945
2025-03-04,0,0.0,0.03864750001230277,0.0,45943.88671033456
2025-03-05,0,0.0,0.03785329998936504,0.0,46665.11393784192
2025-03-06,0,0.0,0.0424852000141982,0.0,46528.686680229635
2025-03-07,0,0.0,0.05779170000459999,0.0,17056.567226767016
2025-03-08,0,0.0,0.0979321000049822,0.0,16752.179549079272
2025-03-09,0,0.0,0.03702869999688119,0.0,45490.318063515806
2025-03-10,0,0.0,0.07838960000663064,0.0,44481.267959925644
2025-03-11,0,0.0,0.06589239998720586,0.0,44134.66541670323
2025-03-12,0,0.0,0.04872560000512749,0.0,43737.33925184271
2025-03-13,0,0.0,0.09790670001530088,0.0,43100.00636408852
2025-03-14,0,0.0,0.09814960000221618,0.0,16005.752246883565
2025-03-15,0,0.0,0.054205200023716316,0.0,15877.751392658325
2025-03-16,0,0.0,0.08921080001164228,0.0,42195.066242640416
2025-03-17,0,0.0,0.07714380000834353,0.0,42071.168628116044
2025-03-18,0,0.0,0.057440799981122836,0.0,41094.297402253535
2025-03-19,0,0.0,0.04800680000334978,0.0,41088.88178879071
2025-03-20,0,0.0,0.058327300008386374,0.0,40840.83282282499
2025-03-21,0,0.0,0.047530500014545396,0.0,15292.295728604424
2025-03-22,0,0.0,0.03919589999713935,0.0,15374.747239654123
2025-03-23,0,0.0,0.04452240001410246,0.0,39181.94982866154
2025-03-24,0,0.0,0.04630350001389161,0.0,38731.13434559027
2025-03-25,0,0.0,0.06537359999492764,0.0,38594.51768655699
2025-03-26,0,0.0,0.051160400005755946,0.0,38590.380420051784
2025-03-27,0,0.0,0.06540829999721609,0.0,38331.077765144815
2025-03-28,0,0.0,0.041177300008712336,0.0,14631.857138086118
2025-03-29,0,0.0,0.04409690000466071,0.0,14632.613848556695
2025-03-30,0,0.0,0.04082659998675808,0.0,36916.04777270957
2025-03-31,0,0.0,0.060957000008784235,0.0,36488.89163791554
2025-04-01,0,0.0,0.06580849998863414,0.0,36386.52271376501
2025-04-02,0,0.0,0.05999729997711256,0.0,36248.991957710765
2025-04-03,0,0.0,0.05067100000451319,0.0,36701.564697858405
2025-04-04,0,0.0,0.03639890000340529,0.0,14122.634295850243
2025-04-05,0,0.0,0.049790099990786985,0.0,14191.836914605266
2025-04-06,0,0.0,0.053661499987356365,0.0,36263.3530347454
2025-04-07,0,0.0,0.043528699985472485,0.0,35951.44080250134
