month,v2b_total_cost_yuan,v5_total_cost_yuan,difference_yuan
2025-02,1260450.0215339102,1260412.3562125515,-37.66532135871239
2025-03,1210330.7203780846,1210539.348731176,208.62835309142247
2025-04,1024659.4528019764,1025202.3188365508,542.8660345744574
2025-05,1076294.6962692963,1078397.7969994743,2103.1007301779464
2025-06,1496901.787110527,1496756.4328775797,-145.3542329473421
2025-07,1622542.4799235943,1622580.5717228903,38.09179929597303
2025-08,1383711.1271719956,1386129.967297148,2418.8401251523755
2025-09,1242747.1387167561,1246213.7404828619,3466.6017661057413
2025-10,1199055.5276922246,1199926.1365205247,870.6088283001445
2025-11,1318847.8828597837,1318950.4491138973,102.566254113568
2025-12,1751811.1235972438,1751728.7585113128,-82.36508593102917
