date,slot,interval_label,price_yuan_per_kwh,reserve_kwh,delayed_residual_kwh,reference_charge_kwh,reference_discharge_kwh,dp_charge_kwh,dp_discharge_kwh,final_charge_kwh,final_discharge_kwh,correction_applied,reference_expected_emergency_cost_yuan,final_expected_emergency_cost_yuan,dp_expected_emergency_cost_yuan,expected_gain_yuan,reference_realized_emergency_cost_yuan,final_realized_emergency_cost_yuan,realized_gain_yuan
2025-02-01,1,00:00-00:10,0.4248,4807.061183241227,-841.4993970588234,833.3333333333334,0.0,833.3333333333334,0.0,833.3333333333334,0.0,0,2.755867070387559,2.755867070387559,2.755867070387559,0.0,0.0,0.0,0.0
2025-02-01,2,00:10-00:20,0.4245,5557.061183241227,-855.7949331218781,833.3333333333334,0.0,833.3333333333334,0.0,833.3333333333334,0.0,0,9.961285607461352,9.961285607461352,9.961285607461352,0.0,0.0,0.0,0.0
2025-02-01,3,00:20-00:30,0.4269,6307.061183241227,-881.3388358599814,833.3333333333334,0.0,833.3333333333334,0.0,833.3333333333334,0.0,0,7.784150983094633,7.784150983094633,7.784150983094633,0.0,0.0,0.0,0.0
2025-02-01,4,00:30-00:40,0.4272,7057.061183241227,-889.4056488419529,833.3333333333334,0.0,833.3333333333334,0.0,833.3333333333334,0.0,0,4.839450738639221,4.839450738639221,4.839450738639221,0.0,0.0,0.0,0.0
2025-02-01,5,00:40-00:50,0.4271,7807.061183241227,-892.1188061455457,833.3333333333334,0.0,833.3333333333334,0.0,833.3333333333334,0.0,0,4.358222760048664,4.358222760048664,4.358222760048664,0.0,0.0,0.0,0.0
2025-02-01,6,00:50-01:00,0.4285,7829.627103960424,-78.50891717787897,0.0,0.0,78.50891717787897,0.0,0.0,0.0,0,8.037358093431445,8.037358093431445,128.40643146447582,0.0,0.0,0.0,0.0
2025-02-01,7,01:00-01:10,0.4311,7803.466432621801,-90.43686735754699,0.0,0.0,90.43686735754699,0.0,0.0,0.0,0,5.1899619969451445,5.1899619969451445,147.1800734197197,0.0,0.0,0.0,0.0
2025-02-01,8,01:10-01:20,0.4302,7840.615099880701,-50.73530711995875,0.0,0.0,50.73530711995875,0.0,0.0,0.0,0,7.2636816976027045,7.2636816976027045,79.5888729956,0.0,0.0,0.0,0.0
2025-02-01,9,01:20-01:30,0.4279,8140.6150998807025,-365.50407120640926,333.33333333333536,0.0,365.50407120640926,0.0,333.33333333333536,0.0,0,10.143034398414642,10.143034398414642,49.7586521333435,0.0,0.0,0.0,0.0
2025-02-01,10,01:30-01:40,0.4312,8146.346809539611,-36.96771924661431,0.0,0.0,36.96771924661431,0.0,0.0,0.0,0,1.6331232574357748,1.6331232574357748,34.77501479353049,0.0,0.0,0.0,0.0
2025-02-01,11,01:40-01:50,0.4333,8156.731730687365,-19.662159942097674,0.0,0.0,19.662159942097674,0.0,0.0,0.0,0,2.2507078119189736,2.2507078119189736,22.70893529544107,0.0,0.0,0.0,0.0
2025-02-01,12,01:50-02:00,0.4311,8176.969199663997,-83.52066031056722,0.0,0.0,83.52066031056722,0.0,0.0,0.0,0,1.9209479067859603,1.9209479067859603,113.58383720480315,0.0,0.0,0.0,0.0
2025-02-01,13,02:00-02:10,0.4293,8253.391734051547,-117.9376738255034,0.0,0.0,117.9376738255034,0.0,0.0,0.0,0,5.436613558071272,5.436613558071272,207.51098241009993,0.0,0.0,0.0,0.0
